ID,System,Alarm,Timestamp,Duration
276,System overview [276],Grid alarm: Grid lost,2023-12-26 07:26:25,"2m, 14s"
276,System overview [276],Grid alarm: Grid lost,2023-12-24 11:43:30,"28m, 46s"
276,System overview [276],Grid alarm: Grid lost,2023-12-24 06:57:53,"2m, 16s"
276,System overview [276],Grid alarm: Grid lost,2023-12-21 07:51:50,"2m, 22s"
276,System overview [276],Grid alarm: Grid lost,2023-12-18 07:40:11,"2m, 17s"
276,System overview [276],Grid alarm: Grid lost,2023-12-14 01:01:18,"2m, 19s"
276,System overview [276],Grid alarm: Grid lost,2023-12-13 07:54:27,"1h, 32m, 3s"
276,System overview [276],Grid alarm: Grid lost,2023-12-10 12:22:20,18s
276,System overview [276],Grid alarm: Grid lost,2023-12-08 17:28:10,"3m, 7s"
276,System overview [276],Grid alarm: Grid lost,2023-12-07 00:56:14,"2h, 46m"
276,System overview [276],Grid alarm: Grid lost,2023-12-06 17:56:16,28s
276,System overview [276],Grid alarm: Grid lost,2023-11-28 17:25:52,19s
276,System overview [276],Grid alarm: Grid lost,2023-11-27 18:54:36,"3m, 18s"
276,System overview [276],Grid alarm: Grid lost,2023-11-26 03:45:27,20s
276,System overview [276],Grid alarm: Grid lost,2023-11-23 05:59:21,"2m, 19s"
276,System overview [276],Grid alarm: Grid lost,2023-11-21 08:36:43,"13h, 56m, 37s"
276,System overview [276],Grid alarm: Grid lost,2023-11-21 06:31:48,"1h, 44m, 32s"
276,System overview [276],Grid alarm: Grid lost,2023-11-21 05:32:18,"56m, 55s"
276,System overview [276],Grid alarm: Grid lost,2023-11-21 04:11:33,"1h, 18m, 9s"
276,System overview [276],Grid alarm: Grid lost,2023-11-21 02:25:19,"1h, 43m, 39s"
276,System overview [276],Grid alarm: Grid lost,2023-11-21 01:47:03,"35m, 39s"
276,System overview [276],Grid alarm: Grid lost,2023-11-21 00:47:33,"56m, 55s"
276,System overview [276],Grid alarm: Grid lost,2023-11-20 22:45:50,"1h, 59m, 8s"
